Entity,Code,Year,Fossil fuels (TWh)
Greece,GRC,2007,4.053.247
Hong Kong,HKG,2007,30.401.202
Hungary,HUN,2007,25.410.687
Iceland,ISL,2007,11.569.497
India,IND,2007,48.012.754
Indonesia,IDN,2007,14.968.118
Iran,IRN,2007,22.028.115
Iraq,IRQ,2007,28.926.733
Ireland,IRL,2007,18.885.443
Israel,ISR,2007,2.551.586
Italy,ITA,2007,20.101.216
Japan,JPN,2007,5.130.279
Kazakhstan,KAZ,2007,5.820.432
Kuwait,KWT,2007,3.119.603
Latvia,LVA,2007,3.789.378
Lithuania,LTU,2007,689.986
Luxembourg,LUX,2007,48.843.357
Malaysia,MYS,2007,88.146.265
Mexico,MEX,2007,18.235.342
Morocco,MAR,2007,15.954.407
Netherlands,NLD,2007,10.693.535
New Zealand,NZL,2007,14.846.664
North Macedonia,MKD,2007,29.984.726
Norway,NOR,2007,1.692.485
Oman,OMN,2007,17.340.074
Pakistan,PAK,2007,6.285.451
Peru,PER,2007,124.836.525
Philippines,PHL,2007,26.462.344
Poland,POL,2007,10.964.136
Portugal,PRT,2007,2.491.106
Qatar,QAT,2007,2.553.497
Romania,ROU,2007,38.452.997
Russia,RUS,2007,69.420.825
Saudi Arabia,SAU,2007,19.105.583
Singapore,SGP,2007,64.729.517
Slovakia,SVK,2007,14.785.396
Slovenia,SVN,2007,60.285.892
South Africa,ZAF,2007,13.211.337
South Korea,KOR,2007,23.488.152
Spain,ESP,2007,15.298.999
Sri Lanka,LKA,2007,56.225.826
Sweden,SWE,2007,24.303.745
Switzerland,CHE,2007,16.977.641
Taiwan,TWN,2007,11.633.555
Thailand,THA,2007,10.575.852
Trinidad and Tobago,TTO,2007,22.146.744
Turkey,TUR,2007,10.711.096
Ukraine,UKR,2007,13.370.758
United Arab Emirates,ARE,2007,818.361
United Kingdom,GBR,2007,23.710.586
United States,USA,2007,23.576.988
Uzbekistan,UZB,2007,54.604.517
Venezuela,VEN,2007,7.680.104
Vietnam,VNM,2007,30.657.834
World,OWID_WRL,2007,117302.68
Algeria,DZA,2008,42.276.166
Argentina,ARG,2008,76.645.496
Australia,AUS,2008,14.753.569
Austria,AUT,2008,2.882.122
Azerbaijan,AZE,2008,14.360.641
Bangladesh,BGD,2008,2.199.329
Belarus,BLR,2008,298.36
Belgium,BEL,2008,639.172
Brazil,BRA,2008,15.830.702
Bulgaria,BGR,2008,18.061.937
Canada,CAN,2008,2.506.017
Chile,CHL,2008,30.155.118
China,CHN,2008,23943.34
Colombia,COL,2008,2.609.395
Croatia,HRV,2008,9.140.181
Cyprus,CYP,2008,35.643.105
Czechia,CZE,2008,42.970.972
Denmark,DNK,2008,20.495.688
Ecuador,ECU,2008,110.877.556
Egypt,EGY,2008,7.868.004
Estonia,EST,2008,6.723.302
Finland,FIN,2008,22.368.834
France,FRA,2008,16.617.161
Germany,DEU,2008,32.258.838
Greece,GRC,2008,39.006.757
Hong Kong,HKG,2008,282.851
Hungary,HUN,2008,2.467.351
Iceland,ISL,2008,10.640.057
India,IND,2008,51.253.574
Indonesia,IDN,2008,15.072.634
Iran,IRN,2008,2.301.213
Iraq,IRQ,2008,33.767.377
Ireland,IRL,2008,18.551.028
Israel,ISR,2008,2.625.598
Italy,ITA,2008,19.388.276
Japan,JPN,2008,5.100.908
Kazakhstan,KAZ,2008,6.171.841
Kuwait,KWT,2008,3.374.702
Latvia,LVA,2008,37.171.803
Lithuania,LTU,2008,6.799.316
Luxembourg,LUX,2008,4.843.457
Malaysia,MYS,2008,90.781.036
Mexico,MEX,2008,18.363.042
Morocco,MAR,2008,17.637.854
Netherlands,NLD,2008,10.512.654
New Zealand,NZL,2008,15.126.912
North Macedonia,MKD,2008,29.355.963
Norway,NOR,2008,16.903.459
Oman,OMN,2008,20.397.525
Pakistan,PAK,2008,64.645.886
Peru,PER,2008,14.026.257
Philippines,PHL,2008,2.703.643
Poland,POL,2008,11.082.928
Portugal,PRT,2008,24.331.506
Qatar,QAT,2008,2.830.817
Romania,ROU,2008,3.725.271
Russia,RUS,2008,70.104.805
Saudi Arabia,SAU,2008,20.955.105
Singapore,SGP,2008,6.886.517
Slovakia,SVK,2008,15.197.993
Slovenia,SVN,2008,6.421.757
South Africa,ZAF,2008,14.189.465
South Korea,KOR,2008,2.374.351
Spain,ESP,2008,14.581.388
Sri Lanka,LKA,2008,51.899.147
Sweden,SWE,2008,23.101.726
Switzerland,CHE,2008,1.806.103
Taiwan,TWN,2008,11.213.296
Thailand,THA,2008,10.724.199
Trinidad and Tobago,TTO,2008,2.182.056
Turkey,TUR,2008,10.814.062
Ukraine,UKR,2008,1.286.476
United Arab Emirates,ARE,2008,9.384.005
United Kingdom,GBR,2008,23.416.736
United States,USA,2008,22.795.662
Uzbekistan,UZB,2008,51.685.944
Venezuela,VEN,2008,74.047.705
Vietnam,VNM,2008,3.840.117
World,OWID_WRL,2008,118133.58
Algeria,DZA,2009,4.479.042
Argentina,ARG,2009,7.310.342
Australia,AUS,2009,14.503.665
Austria,AUT,2009,26.715.955
Azerbaijan,AZE,2009,12.601.282
Bangladesh,BGD,2009,24.341.373
Belarus,BLR,2009,28.200.616
Belgium,BEL,2009,5.806.317
Brazil,BRA,2009,14.929.707
Bulgaria,BGR,2009,15.124.356
Canada,CAN,2009,23.921.387
Chile,CHL,2009,29.225.992
China,CHN,2009,25.087.559
Colombia,COL,2009,26.568.207
Croatia,HRV,2009,85.492.805
Cyprus,CYP,2009,34.730.488
Czechia,CZE,2009,4.038.886
Denmark,DNK,2009,19.127.023
Ecuador,ECU,2009,113.341.064
Egypt,EGY,2009,82.030.597
Estonia,EST,2009,57.060.886
Finland,FIN,2009,21.270.073
France,FRA,2009,15.876.765
Germany,DEU,2009,30.184.321
Greece,GRC,2009,36.884.845
Hong Kong,HKG,2009,3.088.553
Hungary,HUN,2009,2.202.858
Iceland,ISL,2009,9.860.662
India,IND,2009,5.569.547
Indonesia,IDN,2009,1.554.045
Iran,IRN,2009,23.664.104
Iraq,IRQ,2009,33.160.938
Ireland,IRL,2009,16.693.707
Israel,ISR,2009,25.491.614
Italy,ITA,2009,17.629.906
Japan,JPN,2009,4.527.235
Kazakhstan,KAZ,2009,55.345.264
Kuwait,KWT,2009,34.938.324
Latvia,LVA,2009,33.831.284
Lithuania,LTU,2009,57.625.023
Luxembourg,LUX,2009,4.634.103
Malaysia,MYS,2009,87.952.167
Mexico,MEX,2009,18.523.291
Morocco,MAR,2009,16.715.051
Netherlands,NLD,2009,10.308.833
New Zealand,NZL,2009,14.271.063
North Macedonia,MKD,2009,27.691.425
Norway,NOR,2009,16.681.416
Oman,OMN,2009,20.245.877
Pakistan,PAK,2009,65.048.376
Peru,PER,2009,14.246.703
Philippines,PHL,2009,27.353.705
Poland,POL,2009,10.600.883
Portugal,PRT,2009,23.470.938
Qatar,QAT,2009,28.701.282
Romania,ROU,2009,31.853.482
Russia,RUS,2009,6.595.961
Saudi Arabia,SAU,2009,21.951.743
Singapore,SGP,2009,7.407.071
Slovakia,SVK,2009,13.938.422
Slovenia,SVN,2009,56.981.194
South Africa,ZAF,2009,14.129.677
South Korea,KOR,2009,23.995.547
Spain,ESP,2009,13.126.128
Sri Lanka,LKA,2009,534.909
Sweden,SWE,2009,21.704.445
Switzerland,CHE,2009,18.150.452
Taiwan,TWN,2009,10.879.678
Thailand,THA,2009,11.121.085
Trinidad and Tobago,TTO,2009,21.639.868
Turkey,TUR,2009,10.876.221
Ukraine,UKR,2009,10.744.341
United Arab Emirates,ARE,2009,9.255.575
United Kingdom,GBR,2009,2.160.819
United States,USA,2009,21.395.902
Uzbekistan,UZB,2009,50.703.232
Venezuela,VEN,2009,74.212.085
Vietnam,VNM,2009,38.377.795
World,OWID_WRL,2009,115948.11
Algeria,DZA,2010,43.848.944
Argentina,ARG,2010,76.250.415
Australia,AUS,2010,14.437.653
Austria,AUT,2010,2.873.066
Azerbaijan,AZE,2010,12.128.117
Bangladesh,BGD,2010,24.837.393
Belarus,BLR,2010,30.546.198
Belgium,BEL,2010,62.157.776
Brazil,BRA,2010,17.087.803
Bulgaria,BGR,2010,15.424.762
Canada,CAN,2010,24.717.075
Chile,CHL,2010,30.254.974
China,CHN,2010,26.642.344
Colombia,COL,2010,28.449.072
Croatia,HRV,2010,8.244.185
Cyprus,CYP,2010,3.367.439
Czechia,CZE,2010,41.910.333
Denmark,DNK,2010,19.593.016
Ecuador,ECU,2010,13.043.175
Egypt,EGY,2010,8.551.744
Estonia,EST,2010,69.847.244
Finland,FIN,2010,23.739.333
France,FRA,2010,16.099.745
Germany,DEU,2010,31.345.288
Greece,GRC,2010,34.352.032
Hong Kong,HKG,2010,32.100.284
Hungary,HUN,2010,22.436.252
Iceland,ISL,2010,9.542.615
India,IND,2010,57.952.207
Indonesia,IDN,2010,16.919.974
Iran,IRN,2010,23.942.256
Iraq,IRQ,2010,37.039.072
Ireland,IRL,2010,1.675.854
Israel,ISR,2010,26.489.844
Italy,ITA,2010,18.039.177
Japan,JPN,2010,4.790.777
Kazakhstan,KAZ,2010,5.921.218
Kuwait,KWT,2010,39.296.442
Latvia,LVA,2010,39.245.155
Lithuania,LTU,2010,6.261.216
Luxembourg,LUX,2010,48.862.724
Malaysia,MYS,2010,91.087.054
Mexico,MEX,2010,18.941.508
Morocco,MAR,2010,18.309.831
Netherlands,NLD,2010,10.952.905
New Zealand,NZL,2010,14.367.758
North Macedonia,MKD,2010,27.138.107
Norway,NOR,2010,1.714.381
Oman,OMN,2010,24.068.903
Pakistan,PAK,2010,65.121.277
Peru,PER,2010,16.920.007
Philippines,PHL,2010,2.901.092
Poland,POL,2010,11.258.989
Portugal,PRT,2010,22.151.447
Qatar,QAT,2010,3.338.802
Romania,ROU,2010,31.025.522
Russia,RUS,2010,68.971.396
Saudi Arabia,SAU,2010,2.426.711
Singapore,SGP,2010,79.599.347
Slovakia,SVK,2010,14.846.474
Slovenia,SVN,2010,57.791.183
South Africa,ZAF,2010,14.220.035
South Korea,KOR,2010,26.213.225
Spain,ESP,2010,12.594.968
Sri Lanka,LKA,2010,5.367.767
Sweden,SWE,2010,22.947.697
Switzerland,CHE,2010,17.449.934
Taiwan,TWN,2010,11.741.194
Thailand,THA,2010,11.880.663
Trinidad and Tobago,TTO,2010,23.385.913
Turkey,TUR,2010,11.050.425
Ukraine,UKR,2010,1.152.221
United Arab Emirates,ARE,2010,97.244.055
United Kingdom,GBR,2010,22.328.066
United States,USA,2010,22.173.703
Uzbekistan,UZB,2010,50.845.984
Venezuela,VEN,2010,73.356.964
Vietnam,VNM,2010,46.074.872
World,OWID_WRL,2010,121480.32
Algeria,DZA,2011,4.633.955
Argentina,ARG,2011,7.930.223
Australia,AUS,2011,14.670.598
Austria,AUT,2011,27.251.227
Azerbaijan,AZE,2011,13.798.419
Bangladesh,BGD,2011,26.967.944
Belarus,BLR,2011,2.999.841
Belgium,BEL,2011,56.570.465
Brazil,BRA,2011,17.965.085
Bulgaria,BGR,2011,17.006.169
Canada,CAN,2011,25.353.962
Chile,CHL,2011,33.599.832
China,CHN,2011,28.883.004
Colombia,COL,2011,27.557.635
Croatia,HRV,2011,7.979.889
Cyprus,CYP,2011,33.026.558
Czechia,CZE,2011,40.246.118
Denmark,DNK,2011,17.745.694
Ecuador,ECU,2011,13.301.184
Egypt,EGY,2011,8.974.458
Estonia,EST,2011,6.931.334
Finland,FIN,2011,21.482.587
France,FRA,2011,15.031.868
Germany,DEU,2011,30.326.692
Greece,GRC,2011,34.241.724
Hong Kong,HKG,2011,3.288.775
Hungary,HUN,2011,21.762.537
Iceland,ISL,2011,9.428.262
India,IND,2011,60.665.156
Indonesia,IDN,2011,1.820.879
Iran,IRN,2011,25.019.663
Iraq,IRQ,2011,3.819.921
Ireland,IRL,2011,15.513.507
Israel,ISR,2011,26.948.422
Italy,ITA,2011,17.493.113
Japan,JPN,2011,4.841.036
Kazakhstan,KAZ,2011,6.754.985
Kuwait,KWT,2011,40.356.592
Latvia,LVA,2011,35.511.986
Lithuania,LTU,2011,6.458.858
Luxembourg,LUX,2011,47.574.017
Malaysia,MYS,2011,9.214.641
Mexico,MEX,2011,19.830.947
Morocco,MAR,2011,19.679.396
Netherlands,NLD,2011,10.423.181
New Zealand,NZL,2011,14.287.341
North Macedonia,MKD,2011,29.847.853
Norway,NOR,2011,1.696.429
Oman,OMN,2011,2.617.398
Pakistan,PAK,2011,645.356
Peru,PER,2011,18.899.762
Philippines,PHL,2011,29.166.415
Poland,POL,2011,11.255.137
Portugal,PRT,2011,21.969.902
Qatar,QAT,2011,39.036.157
Romania,ROU,2011,33.032.312
Russia,RUS,2011,7.171.495
Saudi Arabia,SAU,2011,25.510.542
Singapore,SGP,2011,8.276.208
Slovakia,SVK,2011,14.111.273
Slovenia,SVN,2011,56.455.215
South Africa,ZAF,2011,14.002.461
South Korea,KOR,2011,27.446.448
Spain,ESP,2011,12.652.173
Sri Lanka,LKA,2011,62.555.855
Sweden,SWE,2011,20.954.068
Switzerland,CHE,2011,16.627.084
Taiwan,TWN,2011,11.631.971
Thailand,THA,2011,12.103.584
Trinidad and Tobago,TTO,2011,22.966.246
Turkey,TUR,2011,11.854.307
Ukraine,UKR,2011,12.048.933
United Arab Emirates,ARE,2011,10.208.742
United Kingdom,GBR,2011,2.058.216
United States,USA,2011,21.749.736
Uzbekistan,UZB,2011,5.431.813
Venezuela,VEN,2011,7.405.089
Vietnam,VNM,2011,48.352.106
World,OWID_WRL,2011,124665.13
Algeria,DZA,2012,50.653.198
Argentina,ARG,2012,8.315.676
Australia,AUS,2012,14.454.979
Austria,AUT,2012,26.533.167
Azerbaijan,AZE,2012,14.461.877
Bangladesh,BGD,2012,28.905.835
Belarus,BLR,2012,32.444.122
Belgium,BEL,2012,5.517.715
Brazil,BRA,2012,18.923.752
Bulgaria,BGR,2012,15.589.844
Canada,CAN,2012,25.287.642
Chile,CHL,2012,34.173.456
China,CHN,2012,29.581.562
Colombia,COL,2012,30.702.118
Croatia,HRV,2012,7.279.537
Cyprus,CYP,2012,3.069.276
Czechia,CZE,2012,39.282.156
Denmark,DNK,2012,15.874.115
Ecuador,ECU,2012,1.393.939
Egypt,EGY,2012,9.344.486
Estonia,EST,2012,6.893.671
Finland,FIN,2012,19.450.394
France,FRA,2012,15.003.119
Germany,DEU,2012,3.052.564
Greece,GRC,2012,3.152.585
Hong Kong,HKG,2012,31.629.422
Hungary,HUN,2012,19.982.675
Iceland,ISL,2012,9.363.356
India,IND,2012,64.867.466
Indonesia,IDN,2012,18.846.263
Iran,IRN,2012,25.209.692
Iraq,IRQ,2012,41.496.793
Ireland,IRL,2012,15.265.463
Israel,ISR,2012,28.145.193
Italy,ITA,2012,16.685.127
Japan,JPN,2012,5189.08
Kazakhstan,KAZ,2012,7.122.215
Kuwait,KWT,2012,42.031.418
Latvia,LVA,2012,34.317.295
Lithuania,LTU,2012,6.450.928
Luxembourg,LUX,2012,4.652.097
Malaysia,MYS,2012,10.065.653
Mexico,MEX,2012,2.007.303
Morocco,MAR,2012,20.126.924
Netherlands,NLD,2012,10.068.438
New Zealand,NZL,2012,15.004.669
North Macedonia,MKD,2012,28.505.577
Norway,NOR,2012,16.646.432
Oman,OMN,2012,28.516.986
Pakistan,PAK,2012,6.509.927
Peru,PER,2012,19.466.333
Philippines,PHL,2012,29.994.846
Poland,POL,2012,10.796.759
Portugal,PRT,2012,20.810.054
Qatar,QAT,2012,44.268.524
Romania,ROU,2012,31.974.847
Russia,RUS,2012,71.821.226
Saudi Arabia,SAU,2012,27.051.736
Singapore,SGP,2012,83.105.865
Slovakia,SVK,2012,13.227.377
Slovenia,SVN,2012,5.462.937
South Africa,ZAF,2012,13.835.504
South Korea,KOR,2012,2.796.073
Spain,ESP,2012,12.414.958
Sri Lanka,LKA,2012,6.839.738
Sweden,SWE,2012,20.140.807
Switzerland,CHE,2012,17.160.486
Taiwan,TWN,2012,11.549.213
Thailand,THA,2012,12.921.687
Trinidad and Tobago,TTO,2012,22.608.945
Turkey,TUR,2012,12.495.521
Ukraine,UKR,2012,11.749.607
United Arab Emirates,ARE,2012,10.740.333
United Kingdom,GBR,2012,20.701.506
United States,USA,2012,21.192.219
Uzbekistan,UZB,2012,52.564.856
Venezuela,VEN,2012,7.909.834
Vietnam,VNM,2012,47.976.727
World,OWID_WRL,2012,126389.11
Algeria,DZA,2013,536.629
Argentina,ARG,2013,8.589.997
Australia,AUS,2013,14.510.181
Austria,AUT,2013,26.624.954
Azerbaijan,AZE,2013,14.952.165
Bangladesh,BGD,2013,29.795.532
Belarus,BLR,2013,29.389.456
Belgium,BEL,2013,56.214.954
Brazil,BRA,2013,20.380.793
Bulgaria,BGR,2013,14.007.574
Canada,CAN,2013,25.768.179
Chile,CHL,2013,3.441.626
China,CHN,2013,30.523.664
Colombia,COL,2013,31.943.823
Croatia,HRV,2013,70.367.516
Cyprus,CYP,2013,27.189.632
Czechia,CZE,2013,37.932.996
Denmark,DNK,2013,16.495.786
Ecuador,ECU,2013,14.828.406
Egypt,EGY,2013,92.770.294
Estonia,EST,2013,736.856
Finland,FIN,2013,20.224.971
France,FRA,2013,15.010.537
Germany,DEU,2013,31.474.045
Greece,GRC,2013,2.833.297
Hong Kong,HKG,2013,32.477.527
Hungary,HUN,2013,18.785.693
Iceland,ISL,2013,9.902.571
India,IND,2013,6.672.582
Indonesia,IDN,2013,18.014.543
Iran,IRN,2013,2.603.963
Iraq,IRQ,2013,46.141.168
Ireland,IRL,2013,14.798.254
Israel,ISR,2013,2.661.186
Italy,ITA,2013,15.312.878
Japan,JPN,2013,5.133.329
Kazakhstan,KAZ,2013,7.153.795
Kuwait,KWT,2013,42.956.055
Latvia,LVA,2013,3.414.982
Lithuania,LTU,2013,5.834.429
Luxembourg,LUX,2013,4.401.891
Malaysia,MYS,2013,10.481.492
Mexico,MEX,2013,20.165.919
Morocco,MAR,2013,20.241.418
Netherlands,NLD,2013,97.932.056
New Zealand,NZL,2013,15.128.598
North Macedonia,MKD,2013,25.770.996
Norway,NOR,2013,1.696.739
Oman,OMN,2013,31.885.587
Pakistan,PAK,2013,65.397.424
Peru,PER,2013,19.845.174
Philippines,PHL,2013,3.275.667
Poland,POL,2013,10.829.036
Portugal,PRT,2013,2.068.649
Qatar,QAT,2013,480.504
Romania,ROU,2013,27.987.015
Russia,RUS,2013,70.502.725
Saudi Arabia,SAU,2013,2.717.073
Singapore,SGP,2013,84.919.995
Slovakia,SVK,2013,13.432.585
Slovenia,SVN,2013,52.289.368
South Africa,ZAF,2013,13.862.733
South Korea,KOR,2013,28.331.323
Spain,ESP,2013,11.211.074
Sri Lanka,LKA,2013,5.956.628
Sweden,SWE,2013,1.993.496
Switzerland,CHE,2013,17.988.376
Taiwan,TWN,2013,11.795.905
Thailand,THA,2013,12.979.384
Trinidad and Tobago,TTO,2013,2.302.848
Turkey,TUR,2013,12.258.516
Ukraine,UKR,2013,11.102.203
United Arab Emirates,ARE,2013,11.330.077
United Kingdom,GBR,2013,20.272.275
United States,USA,2013,21.720.053
Uzbekistan,UZB,2013,52.826.227
Venezuela,VEN,2013,8.013.921
Vietnam,VNM,2013,50.362.057
World,OWID_WRL,2013,128.092.484
Algeria,DZA,2014,5.849.252
Argentina,ARG,2014,85.735.706
Australia,AUS,2014,1.469.526
Austria,AUT,2014,25.016.219
Azerbaijan,AZE,2014,1.528.601
Bangladesh,BGD,2014,3.105.683
Belarus,BLR,2014,29.404.642
Belgium,BEL,2014,53.418.896
Brazil,BRA,2014,21.221.887
Bulgaria,BGR,2014,1.481.321
Canada,CAN,2014,26.078.945
Chile,CHL,2014,33.005.496
China,CHN,2014,30.937.318
Colombia,COL,2014,34.031.845
Croatia,HRV,2014,6.866.936
Cyprus,CYP,2014,27.295.439
Czechia,CZE,2014,3.703.104
Denmark,DNK,2014,15.288.184
Ecuador,ECU,2014,15.593.242
Egypt,EGY,2014,91.591.486
Estonia,EST,2014,69.839.325
Finland,FIN,2014,18.662.822
France,FRA,2014,1.364.985
Germany,DEU,2014,2.963.163
Greece,GRC,2014,2.698.937
Hong Kong,HKG,2014,31.700.565
Hungary,HUN,2014,18.590.564
Iceland,ISL,2014,10.067.502
India,IND,2014,71.367.607
Indonesia,IDN,2014,18.214.462
Iran,IRN,2014,2.725.781
Iraq,IRQ,2014,44.284.467
Ireland,IRL,2014,14.523.595
Israel,ISR,2014,25.853.638
Italy,ITA,2014,14.144.424
Japan,JPN,2014,4.996.624
Kazakhstan,KAZ,2014,72.944.434
Kuwait,KWT,2014,43.661.258
Latvia,LVA,2014,3.265.368
Lithuania,LTU,2014,56.103.073
Luxembourg,LUX,2014,4.234.417
Malaysia,MYS,2014,10.547.048
Mexico,MEX,2014,19.774.797
Morocco,MAR,2014,20.673.431
Netherlands,NLD,2014,9.204.198
New Zealand,NZL,2014,15.660.614
North Macedonia,MKD,2014,24.461.483
Norway,NOR,2014,16.737.158
Oman,OMN,2014,3.174.836
Pakistan,PAK,2014,67.459.045
Peru,PER,2014,20.425.089
Philippines,PHL,2014,34.763.712
Poland,POL,2014,1.034.271
Portugal,PRT,2014,20.750.575
Qatar,QAT,2014,51.903.577
Romania,ROU,2014,28.051.196
Russia,RUS,2014,70.738.228
Saudi Arabia,SAU,2014,29.255.269
Singapore,SGP,2014,8.737.721
Slovakia,SVK,2014,121.464.874
Slovenia,SVN,2014,4.787.574
South Africa,ZAF,2014,1.397.379
South Korea,KOR,2014,28.113.872
Spain,ESP,2014,10.940.911
Sri Lanka,LKA,2014,7.181.466
Sweden,SWE,2014,1.924.726
Switzerland,CHE,2014,16.037.454
Taiwan,TWN,2014,12.107.333
Thailand,THA,2014,13.330.138
Trinidad and Tobago,TTO,2014,229.1
Turkey,TUR,2014,13.177.058
Ukraine,UKR,2014,950.507
United Arab Emirates,ARE,2014,11.208.547
United Kingdom,GBR,2014,18.796.604
United States,USA,2014,21.926.727
Uzbekistan,UZB,2014,5.470.693
Venezuela,VEN,2014,7.648.202
Vietnam,VNM,2014,56.277.344
World,OWID_WRL,2014,128937.92
Algeria,DZA,2015,6.169.203
Argentina,ARG,2015,86.964.844
Australia,AUS,2015,14.989.478
Austria,AUT,2015,25.707.706
Azerbaijan,AZE,2015,16.660.326
Bangladesh,BGD,2015,36.055.832
Belarus,BLR,2015,26.607.587
Belgium,BEL,2015,5.587.716
Brazil,BRA,2015,2.007.344
Bulgaria,BGR,2015,15.893.459
Canada,CAN,2015,26.173.267
Chile,CHL,2015,3.327.226
China,CHN,2015,31.033.996
Colombia,COL,2015,34.579.242
Croatia,HRV,2015,7.038.391
Cyprus,CYP,2015,27.969.318
Czechia,CZE,2015,3.701.322
Denmark,DNK,2015,14.362.872
Ecuador,ECU,2015,15.102.039
Egypt,EGY,2015,929.656
Estonia,EST,2015,63.885.067
Finland,FIN,2015,17.587.355
France,FRA,2015,13.928.246
Germany,DEU,2015,29.811.343
Greece,GRC,2015,26.635.352
Hong Kong,HKG,2015,32.621.796
Hungary,HUN,2015,19.837.442
Iceland,ISL,2015,10.999.993
India,IND,2015,73.542.676
Indonesia,IDN,2015,18.715.457
Iran,IRN,2015,27.148.428
Iraq,IRQ,2015,42.837.384
Ireland,IRL,2015,15.166.194
Israel,ISR,2015,27.195.642
Italy,ITA,2015,14.969.937
Japan,JPN,2015,48.535.146
Kazakhstan,KAZ,2015,6.879.399
Kuwait,KWT,2015,45.369.324
Latvia,LVA,2015,33.572.395
Lithuania,LTU,2015,58.344.486
Luxembourg,LUX,2015,40.869.637
Malaysia,MYS,2015,10.691.963
Mexico,MEX,2015,19.845.735
Morocco,MAR,2015,2.085.101
Netherlands,NLD,2015,9.286.682
New Zealand,NZL,2015,15.600.986
North Macedonia,MKD,2015,24.005.926
Norway,NOR,2015,16.897.461
Oman,OMN,2015,33.555.582
Pakistan,PAK,2015,71.356.506
Peru,PER,2015,21.368.613
Philippines,PHL,2015,3.831.464
Poland,POL,2015,1039.33
Portugal,PRT,2015,21.999.551
Qatar,QAT,2015,59.182.996
Romania,ROU,2015,27.972.678
Russia,RUS,2015,6.920.009
Saudi Arabia,SAU,2015,30.180.127
Singapore,SGP,2015,9.290.412
Slovakia,SVK,2015,1.244.621
Slovenia,SVN,2015,48.026.012
South Africa,ZAF,2015,13.657.781
South Korea,KOR,2015,2843.49
Spain,ESP,2015,11.511.338
Sri Lanka,LKA,2015,78.180.824
Sweden,SWE,2015,1.902.769
Switzerland,CHE,2015,16.395.558
Taiwan,TWN,2015,12.242.609
Thailand,THA,2015,13.637.816
Trinidad and Tobago,TTO,2015,222.289
Turkey,TUR,2015,13.769.364
Ukraine,UKR,2015,7.573.712
United Arab Emirates,ARE,2015,12.301.072
United Kingdom,GBR,2015,18.451.536
United States,USA,2015,21655.59
Uzbekistan,UZB,2015,52.189.075
Venezuela,VEN,2015,76.760.284
Vietnam,VNM,2015,67.761.255
World,OWID_WRL,2015,129.619.375