Entity,Code,Year,Ozone concentration-StateofGlobalAir
Afghanistan,AFG,1990,62
Albania,ALB,1990,72
Algeria,DZA,1990,67
Andorra,AND,1990,65
Angola,AGO,1990,80
Antigua and Barbuda,ATG,1990,41
Argentina,ARG,1990,36
Armenia,ARM,1990,62
Australia,AUS,1990,36
Austria,AUT,1990,63
Azerbaijan,AZE,1990,60
Bahamas,BHS,1990,50
Bahrain,BHR,1990,90
Bangladesh,BGD,1990,59
Barbados,BRB,1990,39
Belarus,BLR,1990,55
Belgium,BEL,1990,49
Belize,BLZ,1990,46
Benin,BEN,1990,70
Bhutan,BTN,1990,55
Bolivia,BOL,1990,50
Bosnia and Herzegovina,BIH,1990,69
Botswana,BWA,1990,55
Brazil,BRA,1990,44
Brunei,BRN,1990,42
Bulgaria,BGR,1990,66
Burkina Faso,BFA,1990,52
Burundi,BDI,1990,54
Cambodia,KHM,1990,40
Cameroon,CMR,1990,67
Canada,CAN,1990,58
Cape Verde,CPV,1990,43
Central African Republic,CAF,1990,80
Chad,TCD,1990,60
Chile,CHL,1990,45
China,CHN,1990,57
Colombia,COL,1990,39
Comoros,COM,1990,39
Congo,COG,1990,61
Costa Rica,CRI,1990,38
Cote d'Ivoire,CIV,1990,61
Croatia,HRV,1990,69
Cuba,CUB,1990,48
Cyprus,CYP,1990,68
Czechia,CZE,1990,58
Democratic Republic of Congo,COD,1990,63
Denmark,DNK,1990,49
Djibouti,DJI,1990,46
Dominica,DMA,1990,40
Dominican Republic,DOM,1990,44
Ecuador,ECU,1990,33
Egypt,EGY,1990,68
El Salvador,SLV,1990,53
Equatorial Guinea,GNQ,1990,53
Eritrea,ERI,1990,46
Estonia,EST,1990,51
Eswatini,SWZ,1990,48
Ethiopia,ETH,1990,51
Fiji,FJI,1990,35
Finland,FIN,1990,48
France,FRA,1990,58
Gabon,GAB,1990,51
Gambia,GMB,1990,46
Georgia,GEO,1990,60
Germany,DEU,1990,55
Ghana,GHA,1990,65
Greece,GRC,1990,72
Greenland,GRL,1990,32
Grenada,GRD,1990,38
Guatemala,GTM,1990,55
Guinea,GIN,1990,58
Guinea-Bissau,GNB,1990,52
Guyana,GUY,1990,31
Haiti,HTI,1990,45
Honduras,HND,1990,44
Hungary,HUN,1990,64
Iceland,ISL,1990,44
India,IND,1990,62
Indonesia,IDN,1990,50
Iran,IRN,1990,70
Iraq,IRQ,1990,71
Ireland,IRL,1990,47
Israel,ISR,1990,72
Italy,ITA,1990,81
Jamaica,JAM,1990,43
Japan,JPN,1990,57
Jordan,JOR,1990,71
Kazakhstan,KAZ,1990,54
Kenya,KEN,1990,42
Kuwait,KWT,1990,76
Kyrgyzstan,KGZ,1990,65
Laos,LAO,1990,48
Latvia,LVA,1990,53
Lebanon,LBN,1990,70
Lesotho,LSO,1990,52
Liberia,LBR,1990,54
Libya,LBY,1990,59
Lithuania,LTU,1990,54
Luxembourg,LUX,1990,55
Madagascar,MDG,1990,39
Malawi,MWI,1990,48
Malaysia,MYS,1990,49
Maldives,MDV,1990,50
Mali,MLI,1990,49
Malta,MLT,1990,73
Marshall Islands,MHL,1990,26
Mauritania,MRT,1990,44
Mauritius,MUS,1990,38
Mexico,MEX,1990,62
Micronesia (country),FSM,1990,5
Moldova,MDA,1990,62
Mongolia,MNG,1990,50
Montenegro,MNE,1990,68
Morocco,MAR,1990,58
Mozambique,MOZ,1990,44
Myanmar,MMR,1990,65
Namibia,NAM,1990,57
Nepal,NPL,1990,62
Netherlands,NLD,1990,47
New Zealand,NZL,1990,34
Nicaragua,NIC,1990,40
Niger,NER,1990,52
Nigeria,NGA,1990,66
North Korea,PRK,1990,62
North Macedonia,MKD,1990,69
Norway,NOR,1990,46
Oman,OMN,1990,71
Pakistan,PAK,1990,59
Palestine,PSE,1990,72
Panama,PAN,1990,38
Papua New Guinea,PNG,1990,31
Paraguay,PRY,1990,44
Peru,PER,1990,39
Philippines,PHL,1990,39
Poland,POL,1990,56
Portugal,PRT,1990,58
Qatar,QAT,1990,95
Romania,ROU,1990,63
Russia,RUS,1990,49
Rwanda,RWA,1990,52
Saint Lucia,LCA,1990,39
Saint Vincent and the Grenadines,VCT,1990,39
Samoa,WSM,1990,31
Sao Tome and Principe,STP,1990,53
Saudi Arabia,SAU,1990,63
Senegal,SEN,1990,44
Serbia,SRB,1990,64
Seychelles,SYC,1990,33
Sierra Leone,SLE,1990,57
Singapore,SGP,1990,67
Slovakia,SVK,1990,62
Slovenia,SVN,1990,68
Solomon Islands,SLB,1990,27
Somalia,SOM,1990,40
South Africa,ZAF,1990,50
South Korea,KOR,1990,66
South Sudan,SSD,1990,65
Spain,ESP,1990,65
Sri Lanka,LKA,1990,46
Sudan,SDN,1990,50
Suriname,SUR,1990,33
Sweden,SWE,1990,47
Switzerland,CHE,1990,64
Syria,SYR,1990,68
Taiwan,TWN,1990,59
Tajikistan,TJK,1990,64
Tanzania,TZA,1990,45
Thailand,THA,1990,48
Timor-Leste,,1990,40
Togo,TGO,1990,71
Tonga,TON,1990,38
Trinidad and Tobago,TTO,1990,38
Tunisia,TUN,1990,66
Turkey,TUR,1990,67
Turkmenistan,TKM,1990,59
Uganda,UGA,1990,52
Ukraine,UKR,1990,60
United Arab Emirates,ARE,1990,89
United Kingdom,GBR,1990,41
United States,USA,1990,70
Uruguay,URY,1990,34
Uzbekistan,UZB,1990,64
Vanuatu,VUT,1990,37
Venezuela,VEN,1990,40
Vietnam,VNM,1990,46
Yemen,YEM,1990,50
Zambia,ZMB,1990,58
Zimbabwe,ZWE,1990,53
Afghanistan,AFG,1995,62
Albania,ALB,1995,71
Algeria,DZA,1995,68
Andorra,AND,1995,65
Angola,AGO,1995,81
Antigua and Barbuda,ATG,1995,41
Argentina,ARG,1995,37
Armenia,ARM,1995,62
Australia,AUS,1995,36
Austria,AUT,1995,62
Azerbaijan,AZE,1995,59
Bahamas,BHS,1995,50
Bahrain,BHR,1995,95
Bangladesh,BGD,1995,61
Barbados,BRB,1995,39
Belarus,BLR,1995,53
Belgium,BEL,1995,50
Belize,BLZ,1995,46
Benin,BEN,1995,71
Bhutan,BTN,1995,56
Bolivia,BOL,1995,50
Bosnia and Herzegovina,BIH,1995,68
Botswana,BWA,1995,55
Brazil,BRA,1995,44
Brunei,BRN,1995,39
Bulgaria,BGR,1995,66
Burkina Faso,BFA,1995,52
Burundi,BDI,1995,54
Cambodia,KHM,1995,41
Cameroon,CMR,1995,67
Canada,CAN,1995,58
Cape Verde,CPV,1995,44
Central African Republic,CAF,1995,79
Chad,TCD,1995,60
Chile,CHL,1995,45
China,CHN,1995,58
Colombia,COL,1995,40
Comoros,COM,1995,39
Congo,COG,1995,61
Costa Rica,CRI,1995,39
Cote d'Ivoire,CIV,1995,61
Croatia,HRV,1995,68
Cuba,CUB,1995,49
Cyprus,CYP,1995,69
Czechia,CZE,1995,58
Democratic Republic of Congo,COD,1995,63
Denmark,DNK,1995,50
Djibouti,DJI,1995,46
Dominica,DMA,1995,40
Dominican Republic,DOM,1995,45
Ecuador,ECU,1995,33
Egypt,EGY,1995,69
El Salvador,SLV,1995,55
Equatorial Guinea,GNQ,1995,53
Eritrea,ERI,1995,47
Estonia,EST,1995,50
Eswatini,SWZ,1995,48
Ethiopia,ETH,1995,51
Fiji,FJI,1995,35
Finland,FIN,1995,48
France,FRA,1995,58
Gabon,GAB,1995,51
Gambia,GMB,1995,46
Georgia,GEO,1995,60
Germany,DEU,1995,55
Ghana,GHA,1995,66
Greece,GRC,1995,72
Greenland,GRL,1995,33
Grenada,GRD,1995,38
Guatemala,GTM,1995,57
Guinea,GIN,1995,59
Guinea-Bissau,GNB,1995,52
Guyana,GUY,1995,32
Haiti,HTI,1995,46
Honduras,HND,1995,45
Hungary,HUN,1995,63
Iceland,ISL,1995,44
India,IND,1995,63
Indonesia,IDN,1995,45
Iran,IRN,1995,71
Iraq,IRQ,1995,73
Ireland,IRL,1995,47
Israel,ISR,1995,72
Italy,ITA,1995,80
Jamaica,JAM,1995,43
Japan,JPN,1995,57
Jordan,JOR,1995,72
Kazakhstan,KAZ,1995,53
Kenya,KEN,1995,42
Kuwait,KWT,1995,78
Kyrgyzstan,KGZ,1995,64
Laos,LAO,1995,49
Latvia,LVA,1995,51
Lebanon,LBN,1995,71
Lesotho,LSO,1995,53
Liberia,LBR,1995,55
Libya,LBY,1995,60
Lithuania,LTU,1995,53
Luxembourg,LUX,1995,55
Madagascar,MDG,1995,39
Malawi,MWI,1995,48
Malaysia,MYS,1995,46
Maldives,MDV,1995,51
Mali,MLI,1995,49
Malta,MLT,1995,72
Marshall Islands,MHL,1995,25
Mauritania,MRT,1995,44
Mauritius,MUS,1995,38
Mexico,MEX,1995,62
Micronesia (country),FSM,1995,5
Moldova,MDA,1995,60
Mongolia,MNG,1995,50
Montenegro,MNE,1995,67
Morocco,MAR,1995,58
Mozambique,MOZ,1995,44
Myanmar,MMR,1995,65
Namibia,NAM,1995,58
Nepal,NPL,1995,63
Netherlands,NLD,1995,49
New Zealand,NZL,1995,34
Nicaragua,NIC,1995,40
Niger,NER,1995,52
Nigeria,NGA,1995,67
North Korea,PRK,1995,63
North Macedonia,MKD,1995,68
Norway,NOR,1995,46
Oman,OMN,1995,73
Pakistan,PAK,1995,61
Palestine,PSE,1995,73
Panama,PAN,1995,39
Papua New Guinea,PNG,1995,30
Paraguay,PRY,1995,44
Peru,PER,1995,39
Philippines,PHL,1995,39
Poland,POL,1995,57
Portugal,PRT,1995,59
Qatar,QAT,1995,102
Romania,ROU,1995,61
Russia,RUS,1995,48
Rwanda,RWA,1995,52
Saint Lucia,LCA,1995,39
Saint Vincent and the Grenadines,VCT,1995,39
Samoa,WSM,1995,31
Sao Tome and Principe,STP,1995,54
Saudi Arabia,SAU,1995,65
Senegal,SEN,1995,44
Serbia,SRB,1995,63
Seychelles,SYC,1995,33
Sierra Leone,SLE,1995,58
Singapore,SGP,1995,57
Slovakia,SVK,1995,62
Slovenia,SVN,1995,67
Solomon Islands,SLB,1995,26
Somalia,SOM,1995,40
South Africa,ZAF,1995,50
South Korea,KOR,1995,63
South Sudan,SSD,1995,65
Spain,ESP,1995,65
Sri Lanka,LKA,1995,46
Sudan,SDN,1995,51
Suriname,SUR,1995,33
Sweden,SWE,1995,47
Switzerland,CHE,1995,63
Syria,SYR,1995,69
Taiwan,TWN,1995,59
Tajikistan,TJK,1995,64
Tanzania,TZA,1995,45
Thailand,THA,1995,50
Timor-Leste,,1995,39
Togo,TGO,1995,72
Tonga,TON,1995,38
Trinidad and Tobago,TTO,1995,39
Tunisia,TUN,1995,67
Turkey,TUR,1995,67
Turkmenistan,TKM,1995,59
Uganda,UGA,1995,51
Ukraine,UKR,1995,59
United Arab Emirates,ARE,1995,93
United Kingdom,GBR,1995,43
United States,USA,1995,70
Uruguay,URY,1995,35
Uzbekistan,UZB,1995,63
Vanuatu,VUT,1995,37
Venezuela,VEN,1995,40
Vietnam,VNM,1995,47
Yemen,YEM,1995,51
Zambia,ZMB,1995,59
Zimbabwe,ZWE,1995,53
Afghanistan,AFG,2000,62
Albania,ALB,2000,70
Algeria,DZA,2000,69
Andorra,AND,2000,65
Angola,AGO,2000,81
Antigua and Barbuda,ATG,2000,41
Argentina,ARG,2000,38
Armenia,ARM,2000,62
Australia,AUS,2000,36
Austria,AUT,2000,61
Azerbaijan,AZE,2000,59
Bahamas,BHS,2000,50
Bahrain,BHR,2000,100
Bangladesh,BGD,2000,63
Barbados,BRB,2000,39
Belarus,BLR,2000,52
Belgium,BEL,2000,52
Belize,BLZ,2000,46
Benin,BEN,2000,71
Bhutan,BTN,2000,58
Bolivia,BOL,2000,51
Bosnia and Herzegovina,BIH,2000,67
Botswana,BWA,2000,56
Brazil,BRA,2000,44
Brunei,BRN,2000,37
Bulgaria,BGR,2000,66
Burkina Faso,BFA,2000,52
Burundi,BDI,2000,54
Cambodia,KHM,2000,42
Cameroon,CMR,2000,67
Canada,CAN,2000,58
Cape Verde,CPV,2000,44
Central African Republic,CAF,2000,79
Chad,TCD,2000,60
Chile,CHL,2000,44
China,CHN,2000,59
Colombia,COL,2000,41
Comoros,COM,2000,40
Congo,COG,2000,61
Costa Rica,CRI,2000,40
Cote d'Ivoire,CIV,2000,62
Croatia,HRV,2000,67
Cuba,CUB,2000,49
Cyprus,CYP,2000,69
Czechia,CZE,2000,58
Democratic Republic of Congo,COD,2000,63
Denmark,DNK,2000,50
Djibouti,DJI,2000,47
Dominica,DMA,2000,40
Dominican Republic,DOM,2000,45
Ecuador,ECU,2000,34
Egypt,EGY,2000,70
El Salvador,SLV,2000,56
Equatorial Guinea,GNQ,2000,54
Eritrea,ERI,2000,47
Estonia,EST,2000,49
Eswatini,SWZ,2000,49
Ethiopia,ETH,2000,52
Fiji,FJI,2000,35
Finland,FIN,2000,47
France,FRA,2000,58
Gabon,GAB,2000,51
Gambia,GMB,2000,46
Georgia,GEO,2000,59
Germany,DEU,2000,56
Ghana,GHA,2000,66
Greece,GRC,2000,71
Greenland,GRL,2000,33
Grenada,GRD,2000,38
Guatemala,GTM,2000,58
Guinea,GIN,2000,60
Guinea-Bissau,GNB,2000,52
Guyana,GUY,2000,32
Haiti,HTI,2000,46
Honduras,HND,2000,45
Hungary,HUN,2000,63
Iceland,ISL,2000,45
India,IND,2000,65
Indonesia,IDN,2000,42
Iran,IRN,2000,72
Iraq,IRQ,2000,74
Ireland,IRL,2000,47
Israel,ISR,2000,72
Italy,ITA,2000,79
Jamaica,JAM,2000,44
Japan,JPN,2000,57
Jordan,JOR,2000,73
Kazakhstan,KAZ,2000,52
Kenya,KEN,2000,42
Kuwait,KWT,2000,80
Kyrgyzstan,KGZ,2000,64
Laos,LAO,2000,51
Latvia,LVA,2000,50
Lebanon,LBN,2000,72
Lesotho,LSO,2000,53
Liberia,LBR,2000,55
Libya,LBY,2000,60
Lithuania,LTU,2000,52
Luxembourg,LUX,2000,55
Madagascar,MDG,2000,39
Malawi,MWI,2000,49
Malaysia,MYS,2000,45
Maldives,MDV,2000,53
Mali,MLI,2000,50
Malta,MLT,2000,71
Marshall Islands,MHL,2000,25
Mauritania,MRT,2000,44
Mauritius,MUS,2000,38
Mexico,MEX,2000,62
Micronesia (country),FSM,2000,5
Moldova,MDA,2000,59
Mongolia,MNG,2000,49
Montenegro,MNE,2000,66
Morocco,MAR,2000,59
Mozambique,MOZ,2000,45
Myanmar,MMR,2000,67
Namibia,NAM,2000,58
Nepal,NPL,2000,66
Netherlands,NLD,2000,50
New Zealand,NZL,2000,34
Nicaragua,NIC,2000,41
Niger,NER,2000,52
Nigeria,NGA,2000,67
North Korea,PRK,2000,64
North Macedonia,MKD,2000,68
Norway,NOR,2000,46
Oman,OMN,2000,75
Pakistan,PAK,2000,63
Palestine,PSE,2000,73
Panama,PAN,2000,40
Papua New Guinea,PNG,2000,29
Paraguay,PRY,2000,46
Peru,PER,2000,40
Philippines,PHL,2000,39
Poland,POL,2000,57
Portugal,PRT,2000,59
Qatar,QAT,2000,107
Romania,ROU,2000,61
Russia,RUS,2000,48
Rwanda,RWA,2000,52
Saint Lucia,LCA,2000,39
Saint Vincent and the Grenadines,VCT,2000,39
Samoa,WSM,2000,31
Sao Tome and Principe,STP,2000,54
Saudi Arabia,SAU,2000,66
Senegal,SEN,2000,45
Serbia,SRB,2000,63
Seychelles,SYC,2000,33
Sierra Leone,SLE,2000,58
Singapore,SGP,2000,50
Slovakia,SVK,2000,61
Slovenia,SVN,2000,66
Solomon Islands,SLB,2000,26
Somalia,SOM,2000,40
South Africa,ZAF,2000,51
South Korea,KOR,2000,61
South Sudan,SSD,2000,65
Spain,ESP,2000,65
Sri Lanka,LKA,2000,47
Sudan,SDN,2000,51
Suriname,SUR,2000,33
Sweden,SWE,2000,47
Switzerland,CHE,2000,62
Syria,SYR,2000,70
Taiwan,TWN,2000,60
Tajikistan,TJK,2000,64
Tanzania,TZA,2000,45
Thailand,THA,2000,51
Timor-Leste,,2000,38
Togo,TGO,2000,72
Tonga,TON,2000,38
Trinidad and Tobago,TTO,2000,39
Tunisia,TUN,2000,67
Turkey,TUR,2000,67
Turkmenistan,TKM,2000,58
Uganda,UGA,2000,51
Ukraine,UKR,2000,58
United Arab Emirates,ARE,2000,97
United Kingdom,GBR,2000,45
United States,USA,2000,70
Uruguay,URY,2000,35
Uzbekistan,UZB,2000,63
Vanuatu,VUT,2000,37
Venezuela,VEN,2000,42
Vietnam,VNM,2000,48
Yemen,YEM,2000,52
Zambia,ZMB,2000,59
Zimbabwe,ZWE,2000,53
Afghanistan,AFG,2005,62
Albania,ALB,2005,69
Algeria,DZA,2005,69
Andorra,AND,2005,63
Angola,AGO,2005,83
Antigua and Barbuda,ATG,2005,41
Argentina,ARG,2005,38
Armenia,ARM,2005,62
Australia,AUS,2005,36
Austria,AUT,2005,60
Azerbaijan,AZE,2005,59
Bahamas,BHS,2005,50
Bahrain,BHR,2005,103
Bangladesh,BGD,2005,66
Barbados,BRB,2005,39
Belarus,BLR,2005,51
Belgium,BEL,2005,52
Belize,BLZ,2005,46
Benin,BEN,2005,72
Bhutan,BTN,2005,61
Bolivia,BOL,2005,54
Bosnia and Herzegovina,BIH,2005,66
Botswana,BWA,2005,57
Brazil,BRA,2005,46
Brunei,BRN,2005,37
Bulgaria,BGR,2005,65
Burkina Faso,BFA,2005,52
Burundi,BDI,2005,53
Cambodia,KHM,2005,45
Cameroon,CMR,2005,67
Canada,CAN,2005,57
Cape Verde,CPV,2005,44
Central African Republic,CAF,2005,79
Chad,TCD,2005,60
Chile,CHL,2005,44
China,CHN,2005,61
Colombia,COL,2005,43
Comoros,COM,2005,41
Congo,COG,2005,61
Costa Rica,CRI,2005,40
Cote d'Ivoire,CIV,2005,61
Croatia,HRV,2005,66
Cuba,CUB,2005,49
Cyprus,CYP,2005,69
Czechia,CZE,2005,58
Democratic Republic of Congo,COD,2005,63
Denmark,DNK,2005,50
Djibouti,DJI,2005,47
Dominica,DMA,2005,40
Dominican Republic,DOM,2005,45
Ecuador,ECU,2005,36
Egypt,EGY,2005,70
El Salvador,SLV,2005,56
Equatorial Guinea,GNQ,2005,53
Eritrea,ERI,2005,47
Estonia,EST,2005,48
Eswatini,SWZ,2005,49
Ethiopia,ETH,2005,52
Fiji,FJI,2005,35
Finland,FIN,2005,47
France,FRA,2005,57
Gabon,GAB,2005,51
Gambia,GMB,2005,46
Georgia,GEO,2005,59
Germany,DEU,2005,56
Ghana,GHA,2005,67
Greece,GRC,2005,71
Greenland,GRL,2005,33
Grenada,GRD,2005,38
Guatemala,GTM,2005,58
Guinea,GIN,2005,60
Guinea-Bissau,GNB,2005,52
Guyana,GUY,2005,32
Haiti,HTI,2005,47
Honduras,HND,2005,45
Hungary,HUN,2005,62
Iceland,ISL,2005,45
India,IND,2005,68
Indonesia,IDN,2005,41
Iran,IRN,2005,73
Iraq,IRQ,2005,74
Ireland,IRL,2005,48
Israel,ISR,2005,72
Italy,ITA,2005,77
Jamaica,JAM,2005,44
Japan,JPN,2005,59
Jordan,JOR,2005,73
Kazakhstan,KAZ,2005,52
Kenya,KEN,2005,42
Kuwait,KWT,2005,82
Kyrgyzstan,KGZ,2005,64
Laos,LAO,2005,54
Latvia,LVA,2005,49
Lebanon,LBN,2005,72
